model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,2,fog,0.89042,0.4420846638774872,0.06633570743530989,0.1759621348142624,0.1343804139068228,0.1343804139068228,,,
A,2,brightness,0.93894,0.23646645201683045,0.03390959485501051,0.09791728161334991,0.08811996517301857,0.08811996517301857,,,
A,2,contrast,0.7719,0.9951683986282349,0.1486895580509305,0.36585274440288545,0.24325158181855833,0.24325158181855833,,,
A,2,elastic_transform,0.85312,0.5733999631786346,0.08421884536802769,0.2341332574748993,0.1942209743508068,0.1942209743508068,,,
A,2,pixelate,0.74946,1.2066250319766998,0.172776653547585,0.41140475402832033,0.23409925126729839,0.23409925126729839,,,
A,2,jpeg_compression,0.79976,0.7958921144104004,0.1181364214795828,0.3175073417711258,0.25019074972717326,0.25019074972717326,,,
A,2,speckle_noise,0.63238,1.801763849773407,0.26481257264971736,0.6106562933206559,0.3069317666021234,0.3069317666021234,,,
A,2,gaussian_blur,0.75108,1.0718000327301025,0.1584024875921011,0.3977239958333969,0.2734405905941533,0.2734405905941533,,,
A,2,spatter,0.84716,0.6392474068641663,0.09365645448446275,0.2480940460896492,0.18358733042636974,0.18358733042636974,,,
A,2,saturate,0.92292,0.2994028001344204,0.04388098344504833,0.12335417929410934,0.10541382553515287,0.10541382553515287,,,
A,3,gaussian_noise,0.45766,2.883494682540894,0.427616559471488,0.9347119107532501,0.3460788448931294,0.3460788448931294,,,
A,3,shot_noise,0.59302,1.9987978263187407,0.29914963742733003,0.6821622539281845,0.32406757091792127,0.32406757091792127,,,
A,3,impulse_noise,0.53784,2.1334657466316225,0.29410945379674436,0.7231354788541794,0.49795881901565825,0.49795881901565825,,,
A,3,defocus_blur,0.81788,0.7516525206565856,0.11065695626944304,0.28872468693733216,0.2129590719168703,0.2129590719168703,,,
A,3,glass_blur,0.5692200000000001,1.9169129804611205,0.2832388827830553,0.6868222173118591,0.43712891594922054,0.43712891594922054,,,
