model,seed,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
C,1,4,0.7068736842105263,1.306877134068075,0.18964708785940157,0.47013184656173385,0.3102921747518618,0.30957674138145436,0.019663157894736844,,0.07644786719763572
C,1,5,0.5880157894736842,1.8752219349635275,0.27340966296368524,0.6579977075175235,0.41419569432451,0.4093425765118449,0.023826315789473702,,0.0790462268832332
C,2,1,0.8838315789473684,0.47916405466387146,0.07180184040712682,0.18714688572213053,0.13728975213324532,0.13795304496901134,0.008084210526315787,,0.07013060425655292
C,2,2,0.8194368421052631,0.7978128451406956,0.11842418947533558,0.2948016858911828,0.18887439820891597,0.1896008210351775,0.010984210526315784,,0.07142221350113201
C,2,3,0.7558473684210526,1.1474136457280109,0.16783554983444904,0.40229407080819735,0.23087629797906112,0.2317968904381772,0.013257894736842094,,0.07247643010517957
C,2,4,0.6842631578947369,1.5362674119936792,0.22213326024468008,0.5224669812660468,0.28077474170482586,0.2815709199725635,0.016310526315789466,,0.07357683620538832
C,2,5,0.5645105263157895,2.17270443254772,0.31242093793067494,0.7189063085957578,0.3651676641200272,0.36309468667728056,0.021900000000000003,,0.07565734202562098
C,3,1,0.8860105263157895,0.47652064940678446,0.07001621321071136,0.18376400404101922,0.13527334245570174,0.13614374010926794,0.008984210526315794,,0.07121909460207526
C,3,2,0.8304894736842106,0.7337102097461098,0.10841078067986588,0.27467413160800935,0.18553681637789735,0.18654868324331855,0.012189473684210528,,0.07258274453872737
C,3,3,0.7750473684210526,1.0072055199673302,0.14826620239811508,0.36490887972743885,0.23018532087326993,0.23091823088944335,0.015421052631578943,,0.0736832535424199
C,3,4,0.7086526315789474,1.3479402154759357,0.19722003995478155,0.47429132662509615,0.28163863281924784,0.28152987682631064,0.018215789473684213,,0.07476936542692898
C,3,5,0.5904684210526315,1.9584366093710848,0.28334793321137364,0.6663624830283617,0.37444234717147057,0.3701464096160615,0.024768421052631575,,0.07670257703240922
C,5,1,0.8857736842105263,0.4720194765756005,0.06977092018919556,0.18446937858564288,0.13690396478576555,0.13745717993797513,0.00870526315789473,,0.07149824567688741
C,5,2,0.8247526315789474,0.7499439562220322,0.11200196101485115,0.2835089759249436,0.19142503192238325,0.19211742973127685,0.012594736842105266,,0.07293448921150726
C,5,3,0.7629473684210526,1.0612586935379003,0.1567388138897325,0.38480991518202384,0.2412925019343161,0.24161292064176815,0.01574736842105262,,0.07411399898380545
C,5,4,0.6855,1.4791955383587825,0.2162813623949101,0.513880061676118,0.2928199460790241,0.2913991617865497,0.019394736842105267,,0.07513632546996402
C,5,5,0.5673368421052631,2.132042244588074,0.3055229473274789,0.7086832578185358,0.37760864440102426,0.3718658708017057,0.02466315789473685,,0.07701921502352634
D1,1,1,0.8891052631578947,0.45962982188996515,0.07116236455393465,0.1815169826907547,0.12283479372400596,0.15463819271821075,0.010821052631578953,0.061396261369443914,0.03702741512350928
D1,1,2,0.8322842105263157,0.7252693263831892,0.11266291211694479,0.2752743485889937,0.16714539671263223,0.21301870802515463,0.016363157894736833,0.08419199888629066,0.04998319161182445
D1,1,3,0.7770736842105264,1.015460169674221,0.15423305999252357,0.3688727225811858,0.20652716385945072,0.2641840382689111,0.021168421052631572,0.10423602841401493,0.061673679718797725
D1,1,4,0.7044789473684211,1.3906630881359703,0.21013447528277573,0.4897547671543924,0.2535324474935323,0.3245660818752653,0.02674736842105264,0.12800928137392625,0.07497141342365297
D1,1,5,0.5821894736842105,2.077134430968134,0.30412722701438166,0.6932649199887326,0.3329237408995067,0.42760841475876227,0.03781578947368421,0.16831768286513477,0.10071726083080836
D1,2,1,0.887678947368421,0.46610592704885884,0.07209018713447608,0.18337787838001784,0.12265765986030731,0.15114303861002218,0.011663157894736842,0.060350378443796884,0.037790549792290976
D1,2,2,0.8287105263157895,0.7407192215241885,0.11514010375934212,0.2813500572650056,0.1688847162310106,0.20989408232109977,0.017905263157894733,0.0835208222506803,0.051333818485965396
D1,2,3,0.7708789473684211,1.037371725849023,0.15814860724226423,0.3775072360611962,0.21099493122440932,0.26303694674399264,0.023357894736842116,0.10449981950420584,0.06340507514506827
D1,2,4,0.6957684210526316,1.447066507441982,0.21773406753061633,0.5056054642524767,0.2558032942128748,0.3185048961856066,0.029263157894736852,0.1264952942202059,0.0753182693060135
D1,2,5,0.5741736842105263,2.1522814032667563,0.3159324186936805,0.712887731586632,0.32442160865535413,0.40579439274964174,0.03661578947368421,0.16063273829718508,0.09396712250867241
D1,3,1,0.8883947368421052,0.45917025090291314,0.07071880034631804,0.18117619462789675,0.12480147935429092,0.15088170016377775,0.011273684210526312,0.060513324593106134,0.039986529849181836
D1,3,2,0.8331842105263157,0.7174310947945244,0.11069561217819389,0.2721163759074713,0.16910361644147098,0.20558728727070624,0.016626315789473683,0.08225632953052502,0.05349014884483136
D1,3,3,0.7764368421052632,1.0097776592041317,0.15385138279819174,0.36818785669238946,0.2076988565627203,0.2528335415840029,0.021584210526315786,0.10110198824750971,0.06554216165631244
D1,3,4,0.7049421052631579,1.3837854631674917,0.20887346348166466,0.4876723674347526,0.2555271060055749,0.3124729714720992,0.02778421052631577,0.1246227471517778,0.0797101242172933
