model,seed,corruption,severity,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
A,5,gaussian_blur,1,0.9521,0.18658402700424195,0.026909805136919023,0.07749461771249772,0.06954126836166107,0.06954126836166107,,,
A,4,shot_noise,4,0.4397,2.717168650436401,0.40957476831525563,0.93253392868042,0.44272921836552853,0.44272921836552853,,,
C,2,fog,1,0.9475,0.2061516336530447,0.03193320076465607,0.08552671138569713,0.0685023997322016,0.06924299184938427,0.0040000000000000036,,0.06830234880907016
C,5,impulse_noise,5,0.1692,5.025835835266113,0.6748853975087404,1.4334559257507324,0.4552200476702943,0.42578229230424625,0.02980000000000005,,0.07291092457319644
C,5,saturate,4,0.9266,0.2878244304388762,0.04296751757860184,0.11800066269859671,0.09656391871867818,0.09648117964373523,0.006099999999999994,,0.07030680063238723
A,5,fog,1,0.9514,0.19406420016288758,0.026294582721590996,0.07876741652488709,0.07062377359575767,0.07062377359575767,,,
D1,1,defocus_blur,1,0.95,0.19870912051200867,0.030720778450369836,0.08276617289781571,0.06324068182444825,0.07701884479555883,0.0039000000000000146,0.030957690915637187,0.01928589145389139
D1,1,shot_noise,4,0.4536,2.885797813796997,0.4277779875278473,0.9382438206672669,0.34463897480827,0.43813202603032697,0.04159999999999997,0.17338272988305933,0.09862259103555887
A,2,shot_noise,3,0.5362,2.33694735622406,0.3500032778799534,0.7851631139755249,0.33990279272632323,0.33990279272632323,,,
A,4,saturate,5,0.8983,0.3946852579593658,0.057036533948779104,0.16204136157035828,0.13690490914179826,0.13690490914179826,,,
C,5,pixelate,1,0.9304,0.26833297514915466,0.04010866121649742,0.11066540894508362,0.09329485534355045,0.09365574530460581,0.006199999999999983,,0.07030662515336529
C,2,fog,4,0.8888,0.44671091384887696,0.06767731836438179,0.17944687139987944,0.1356608528805431,0.13676088024686323,0.008000000000000007,,0.07087858904025168
A,4,speckle_noise,4,0.4873,2.3923386520385743,0.3636556127771735,0.8323720045089722,0.43787556402545597,0.43787556402545597,,,
D1,5,saturate,4,0.9286,0.2770425807416439,0.04151679687798023,0.11462476534545421,0.09271081181523914,0.103023956342772,0.005199999999999982,0.042467874456616365,0.026522529349935594
C,5,frost,2,0.8572,0.5817595564842224,0.08699651801139116,0.22634036710262298,0.168380591326789,0.16942624200827558,0.01100000000000001,,0.07247851200992696
A,3,spatter,5,0.7407,1.231963127708435,0.17884040011912583,0.434082568359375,0.24091196458741324,0.24091196458741324,,,
A,1,defocus_blur,3,0.8949,0.40789386365413666,0.05943780018091202,0.16795357480049133,0.14126430247462704,0.14126430247462704,,,
D1,2,spatter,2,0.8627,0.569969552898407,0.08790106416940689,0.22522773337364196,0.1490279226167535,0.18604557571896002,0.015599999999999947,0.07382106771649997,0.04555973534474092
A,1,motion_blur,3,0.7623,0.9474019322872161,0.14893328635543585,0.37593668208122255,0.2689623571987555,0.2689623571987555,,,
A,3,zoom_blur,5,0.6364,1.5033766960144044,0.21690420693159104,0.5678883157730102,0.43332982783235785,0.43332982783235785,,,
D1,1,defocus_blur,3,0.9019,0.3846321502685547,0.06024502453804016,0.15985265054702757,0.11750486712188285,0.14435211449826893,0.009099999999999997,0.057847420974112905,0.037041856362185384
A,3,shot_noise,2,0.7735,0.959652146911621,0.14626444351375104,0.3677919298648834,0.2415220745227125,0.2415220745227125,,,
D1,2,gaussian_noise,3,0.3913,3.2649057121276854,0.4725502203166485,1.0332020973205567,0.3939915976350894,0.48711444005222876,0.04390000000000005,0.19373498039186332,0.11405326936623617
A,4,elastic_transform,3,0.8669,0.5118763346672058,0.07505773142576218,0.2121591410636902,0.1730983638908103,0.1730983638908103,,,
C,1,gaussian_blur,2,0.8957,0.40471168308258054,0.060418461163342,0.16806382100582123,0.14141861375143053,0.14170292373371193,0.010299999999999976,,0.07384742392753318
C,2,jpeg_compression,1,0.8704,0.5204304742813111,0.07633293282091617,0.20745531942844392,0.16236285298328149,0.16261237520901486,0.010499999999999954,,0.07120447231570126
A,3,spatter,3,0.8155,0.7752530107498169,0.10909308785498142,0.2963039042472839,0.23122013771496713,0.23122013771496713,,,
D1,2,motion_blur,4,0.7501,1.0899301204681398,0.17057957955598832,0.4100828540802002,0.23661950645337346,0.2924169757765776,0.024900000000000033,0.11660836289601867,0.07393309456438356
D1,2,contrast,3,0.8735,0.5157025157928466,0.08136269928514958,0.2069020013809204,0.13684283631882863,0.169824094974366,0.012800000000000034,0.06756055874867355,0.04192525037326968
C,2,pixelate,1,0.9283,0.2779376585960388,0.040194743426144125,0.11413860499858856,0.1009694555930182,0.10150687353259419,0.00539999999999996,,0.06946814975866007
D1,5,snow,3,0.8451,0.6263540532112122,0.09424523994922637,0.24792207469940186,0.18362441798560614,0.20317171920065594,0.012399999999999967,0.08387541491336015,0.047719291312681385
D1,5,speckle_noise,4,0.5246,2.293692357254028,0.341992104293406,0.7820521909713745,0.3863419242393109,0.43361530151351474,0.0363,0.17697948320085174,0.11670894267544042
A,1,snow,5,0.7669,0.9686066792488098,0.1464603904083371,0.37381407268047334,0.26363162071721163,0.26363162071721163,,,
D1,3,zoom_blur,3,0.8068,0.7911145296096802,0.12372278739511967,0.31227748022079466,0.20797526037658098,0.24858651879795363,0.020299999999999985,0.10018120654806068,0.06840736544007577
C,1,impulse_noise,4,0.4114,2.6787764591217043,0.3744704797208309,0.9136822734832764,0.6284430975394207,0.6273599997894955,0.04410000000000003,,0.07913767192592941
A,3,elastic_transform,3,0.8644,0.5348980550765992,0.07763813237845897,0.21857110505104066,0.1755118085372902,0.1755118085372902,,,
C,5,spatter,4,0.8638,0.5771717500448227,0.08479037842154503,0.2238049186706543,0.15656532187070116,0.15597705699991493,0.011900000000000022,,0.07176227174070236
